Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
La Espanola Mild & Light Olive Oil,£ 2.7,£ 0.36 per 100ml,https://www.ocado.com/productImages/320/320031011_0_640x640.jpg,images/La Espanola Mild & Light Olive Oil.jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Oils>Olive Oil,Yes,https://www.ocado.com/products/320031011,51
Pringles Prawn Cocktail,£ 2.5,£ 1.25 per 100g,https://www.ocado.com/productImages/647/64753011_0_640x640.jpg,images/Pringles Prawn Cocktail.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/64753011,9
Tuc Snack Crackers,£ 1.4,£ 0.933 per 100g,https://www.ocado.com/productImages/102/10265011_0_640x640.jpg,images/Tuc Snack Crackers.jpg,Food Cupboard,Food Cupboard>Crackers & Crispbreads>Biscuits for Cheese,Yes,https://www.ocado.com/products/10265011,18
Carr's Melts,£ 1.5,£ 1.0 per 100g,https://www.ocado.com/productImages/237/23722011_0_640x640.jpg,images/Carr's Melts.jpg,Food Cupboard,Food Cupboard>Crackers & Crispbreads>Biscuits for Cheese,Yes,https://www.ocado.com/products/23722011,19
Cadbury Wispa,£ 1.0,£ 0.833 per 100g,https://www.ocado.com/productImages/280/280975011_0_640x640.jpg,images/Cadbury Wispa.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Multipacks,Yes,https://www.ocado.com/products/280975011,15
Kikkoman Soy Sauce,£ 2.0,£ 1.336 per 100ml,https://www.ocado.com/productImages/140/14006011_0_640x640.jpg,images/Kikkoman Soy Sauce.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>World Foods>Japanese>Seasonings & Sauces",Yes,https://www.ocado.com/products/14006011,43
Metcalfe's Sweet & Salt Popcorn Sharing Bag,£ 1.0,£ 1.25 per 100g,https://www.ocado.com/productImages/100/100035011_0_640x640.jpg,images/Metcalfe's Sweet & Salt Popcorn Sharing Bag.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Snacks",Yes,https://www.ocado.com/products/100035011,50
Walkers Classic Variety Crisps 25g x,£ 4.0,£ 0.167 each,https://www.ocado.com/productImages/184/18458011_0_640x640.jpg,images/Walkers Classic Variety Crisps 25g x.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Assorted Flavours",Yes,https://www.ocado.com/products/18458011,11
Kellogg's Rice Krispies,£ 1.25,£ 0.3676 per 100g,https://www.ocado.com/productImages/599/59999011_0_640x640.jpg,images/Kellogg's Rice Krispies.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Breakfast>Cereal",Yes,https://www.ocado.com/products/59999011,7
M&S Biscuits for Cheese Tin,£ 3.66,£ 1.2777 per 100g,https://www.ocado.com/productImages/528/528957011_0_640x640.jpg,images/M&S Biscuits for Cheese Tin.jpg,Food Cupboard,Food Cupboard>Crackers & Crispbreads>Biscuits for Cheese,Yes,https://www.ocado.com/products/528957011,
Amoy Straight To Wok Udon Thick Noodles,£ 1.8,£ 0.6 per 100g,https://www.ocado.com/productImages/503/50326011_0_640x640.jpg,images/Amoy Straight To Wok Udon Thick Noodles.jpg,Food Cupboard,"Food Cupboard>Cooking Sauces & Kits>Stir Fry, Thai & Chinese>Noodles & Rice>Wet Noodles",Yes,https://www.ocado.com/products/50326011,37
Doritos Salsa Hot Dip,£ 1.25,£ 0.4165 per 100g,https://www.ocado.com/productImages/397/39714011_0_640x640.jpg,images/Doritos Salsa Hot Dip.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Dips",Yes,https://www.ocado.com/products/39714011,10
Whitworths Ground Almonds,£ 2.0,£ 1.33 per 100g,https://www.ocado.com/productImages/275/275684011_0_640x640.jpg,images/Whitworths Ground Almonds.jpg,Food Cupboard,"Food Cupboard>Sugar & Home Baking>Nuts & Seeds>Almonds, Hazelnuts & Pistachios>Almonds",Yes,https://www.ocado.com/products/275684011,12
Schar Gluten Free Pretzels,£ 0.75,£ 1.2525 per 100g,https://www.ocado.com/productImages/260/260333011_0_640x640.jpg,images/Schar Gluten Free Pretzels.jpg,Food Cupboard,Food Cupboard>Crackers & Crispbreads>Breadsticks & Nibbles>Pretzels,Yes,https://www.ocado.com/products/260333011,17
Biona Organic Whole Cherry Tomatoes,£ 1.39,£ 0.348 per 100g,https://www.ocado.com/productImages/513/51370011_0_640x640.jpg,images/Biona Organic Whole Cherry Tomatoes.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Organic>Food Cupboard>Tins & Cans",Yes,https://www.ocado.com/products/51370011,16
HP Sauce Topdown,£ 2.3,£ 0.511 per 100g,https://www.ocado.com/productImages/406/40681011_0_640x640.jpg,images/HP Sauce Topdown.jpg,Food Cupboard,Food Cupboard>Condiments & Dressings>Condiments>Brown Sauces,Yes,https://www.ocado.com/products/40681011,15
Urban Fruit Gently Baked Mango,£ 2.1,£ 2.1 per 100g,https://www.ocado.com/productImages/634/63429011_0_640x640.jpg,images/Urban Fruit Gently Baked Mango.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Snacks",Yes,https://www.ocado.com/products/63429011,76
Quaker Oat So Simple Original Porridge 27g x ,£ 2.75,£ 0.229 each,https://www.ocado.com/productImages/192/19270011_0_640x640.jpg,images/Quaker Oat So Simple Original Porridge 27g x .jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Breakfast>Porridge",Yes,https://www.ocado.com/products/19270011,36
Quaker Rolled Oats Porridge,£ 2.0,£ 0.2 per 100g,https://www.ocado.com/productImages/180/18047011_0_640x640.jpg,images/Quaker Rolled Oats Porridge.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Breakfast>Porridge",Yes,https://www.ocado.com/products/18047011,24
McVitie's Penguin,£ 1.11,£ 0.5638 per 100g,https://www.ocado.com/productImages/281/281998011_0_640x640.jpg,images/McVitie's Penguin.jpg,Food Cupboard,Food Cupboard>Biscuits>Chocolate Biscuit Bars,Yes,https://www.ocado.com/products/281998011,8
